2026-03-07 15:39:44,864 | INFO | ticket 1 correct
2026-03-07 15:39:44,864 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:44,864 | INFO | ticket 1 correct
2026-03-07 15:39:44,864 | INFO | path_correct
2026-03-07 15:39:44,864 | INFO | ticket 1 correct
2026-03-07 15:39:44,864 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment', 'date_close'])
2026-03-07 15:39:44,905 | INFO | user Один assert in bd
2026-03-07 15:39:44,905 | INFO | branch Асгард assert
2026-03-07 15:39:44,906 | INFO | user Тор assert in bd
2026-03-07 15:39:44,906 | INFO | user Локи assert in bd
2026-03-07 15:39:44,906 | INFO | user Фрейя assert in bd
2026-03-07 15:39:44,906 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:39:44,906 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:39:44,906 | INFO | party_ticket correct
2026-03-07 15:39:44,906 | INFO | ticket 1 correct
2026-03-07 15:39:44,907 | INFO | path_correct
2026-03-07 15:39:44,907 | INFO | ticket 1 correct
2026-03-07 15:39:44,907 | INFO | Ticket 1 update patch dict_keys(['current_state', 'reject_comment', 'date_close'])
2026-03-07 15:39:44,907 | INFO | ticket 1 correct
2026-03-07 15:39:44,907 | ERROR | Path incorrect. Reason: Invalid lifecycle transition
2026-03-07 15:39:44,950 | INFO | user Один assert in bd
2026-03-07 15:39:44,951 | INFO | branch Асгард assert
2026-03-07 15:39:44,951 | INFO | user Тор assert in bd
2026-03-07 15:39:44,951 | INFO | user Локи assert in bd
2026-03-07 15:39:44,951 | INFO | user Фрейя assert in bd
2026-03-07 15:39:44,951 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:39:44,951 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:39:44,951 | INFO | party_ticket correct
2026-03-07 15:39:44,951 | INFO | ticket 1 correct
2026-03-07 15:39:44,951 | INFO | path_correct
2026-03-07 15:39:44,952 | INFO | ticket 1 correct
2026-03-07 15:39:44,952 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:44,952 | INFO | ticket 1 correct
2026-03-07 15:39:44,952 | INFO | path_correct
2026-03-07 15:39:44,952 | INFO | ticket 1 correct
2026-03-07 15:39:44,952 | INFO | Ticket 1 update patch dict_keys(['current_state', 'assigned_to', 'comment'])
2026-03-07 15:39:44,953 | INFO | ticket 1 correct
2026-03-07 15:39:44,953 | INFO | path_correct
2026-03-07 15:39:44,953 | INFO | ticket 1 correct
2026-03-07 15:39:44,953 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:44,953 | INFO | ticket 1 correct
2026-03-07 15:39:44,953 | INFO | path_correct
2026-03-07 15:39:44,953 | INFO | ticket 1 correct
2026-03-07 15:39:44,953 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:44,953 | INFO | ticket 1 correct
2026-03-07 15:39:44,953 | INFO | path_correct
2026-03-07 15:39:44,953 | INFO | ticket 1 correct
2026-03-07 15:39:44,953 | INFO | Ticket 1 update patch dict_keys(['current_state', 'reject_comment', 'date_close'])
2026-03-07 15:39:44,954 | INFO | ticket 1 correct
2026-03-07 15:39:44,954 | ERROR | Path incorrect. Reason: Invalid lifecycle transition
2026-03-07 15:39:45,005 | INFO | user Один assert in bd
2026-03-07 15:39:45,005 | INFO | branch Асгард assert
2026-03-07 15:39:45,005 | INFO | user Тор assert in bd
2026-03-07 15:39:45,005 | INFO | user Локи assert in bd
2026-03-07 15:39:45,005 | INFO | user Фрейя assert in bd
2026-03-07 15:39:45,005 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:39:45,006 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:39:45,006 | INFO | party_ticket correct
2026-03-07 15:39:45,006 | INFO | ticket 1 correct
2026-03-07 15:39:45,006 | INFO | path_correct
2026-03-07 15:39:45,006 | INFO | ticket 1 correct
2026-03-07 15:39:45,006 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:45,006 | INFO | ticket 1 correct
2026-03-07 15:39:45,007 | INFO | path_correct
2026-03-07 15:39:45,007 | INFO | ticket 1 correct
2026-03-07 15:39:45,007 | INFO | Ticket 1 update patch dict_keys(['current_state', 'assigned_to', 'comment'])
2026-03-07 15:39:45,007 | INFO | ticket 1 correct
2026-03-07 15:39:45,007 | INFO | path_correct
2026-03-07 15:39:45,007 | INFO | ticket 1 correct
2026-03-07 15:39:45,007 | INFO | Ticket 1 update patch dict_keys(['current_state', 'reject_comment', 'date_close'])
2026-03-07 15:39:45,008 | INFO | ticket 1 correct
2026-03-07 15:39:45,008 | ERROR | Path incorrect. Reason: Invalid lifecycle transition
2026-03-07 15:39:45,049 | INFO | user Один assert in bd
2026-03-07 15:39:45,050 | INFO | branch Асгард assert
2026-03-07 15:39:45,050 | INFO | user Тор assert in bd
2026-03-07 15:39:45,050 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:39:45,050 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:39:45,050 | INFO | party_ticket correct
2026-03-07 15:39:45,091 | INFO | user Один assert in bd
2026-03-07 15:39:45,091 | INFO | branch Асгард assert
2026-03-07 15:39:45,091 | INFO | user Тор assert in bd
2026-03-07 15:39:45,092 | INFO | user Локи assert in bd
2026-03-07 15:39:45,092 | INFO | user Фрейя assert in bd
2026-03-07 15:39:45,092 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:39:45,092 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:39:45,092 | INFO | party_ticket correct
2026-03-07 15:39:45,092 | INFO | ticket 1 correct
2026-03-07 15:39:45,092 | INFO | path_correct
2026-03-07 15:39:45,092 | INFO | ticket 1 correct
2026-03-07 15:39:45,092 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:45,092 | INFO | ticket 1 correct
2026-03-07 15:39:45,092 | INFO | path_correct
2026-03-07 15:39:45,092 | INFO | ticket 1 correct
2026-03-07 15:39:45,092 | INFO | Ticket 1 update patch dict_keys(['priority', 'comment'])
2026-03-07 15:39:45,093 | INFO | ticket 1 correct
2026-03-07 15:39:45,093 | INFO | path_correct
2026-03-07 15:39:45,093 | INFO | ticket 1 correct
2026-03-07 15:39:45,093 | INFO | Ticket 1 update patch dict_keys(['current_state', 'assigned_to', 'comment'])
2026-03-07 15:39:45,093 | INFO | ticket 1 correct
2026-03-07 15:39:45,093 | INFO | path_correct
2026-03-07 15:39:45,093 | INFO | ticket 1 correct
2026-03-07 15:39:45,093 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:45,093 | INFO | ticket 1 correct
2026-03-07 15:39:45,093 | INFO | path_correct
2026-03-07 15:39:45,094 | INFO | ticket 1 correct
2026-03-07 15:39:45,094 | INFO | Ticket 1 update patch dict_keys(['current_state', 'comment'])
2026-03-07 15:39:45,094 | INFO | ticket 1 correct
2026-03-07 15:39:45,094 | INFO | path_correct
2026-03-07 15:39:45,094 | INFO | ticket 1 correct
2026-03-07 15:39:45,094 | INFO | Ticket 1 update patch dict_keys(['current_state', 'reject_comment', 'date_close'])
2026-03-07 15:39:45,143 | INFO | user Один assert in bd
2026-03-07 15:39:45,143 | INFO | branch Асгард assert
2026-03-07 15:39:45,143 | INFO | branch Ванахейм assert
2026-03-07 15:39:45,143 | INFO | user Тор assert in bd
2026-03-07 15:39:45,143 | INFO | user Бальдр assert in bd
2026-03-07 15:39:45,143 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:39:45,143 | INFO | Ticket CASH_COLLECTION_REQUEST create
2026-03-07 15:39:45,143 | INFO | party_ticket correct
2026-03-07 15:39:45,185 | INFO | user Один assert in bd
2026-03-07 15:39:45,185 | INFO | branch Асгард assert
2026-03-07 15:39:45,186 | INFO | user Тор assert in bd
2026-03-07 15:39:45,186 | INFO | user Локи assert in bd
2026-03-07 15:39:45,186 | INFO | user Фрейя assert in bd
2026-03-07 15:39:45,186 | INFO | Event CASH_COLLECTION_REQUEST correct
2026-03-07 15:39:45,186 | INFO | Ticket CASH_COLLECTION_REQUEST create
